"year"|"categ"|"year.1"
"1927/28 (1st)"|"ACTOR"|"Emil Jannings -- The Last Command  {\"General Dolgorucki [Grand Duke Sergius Alexander]\"};  and The Way of All Flesh {\"August Schilling\"}"
"1927/28 (1st)"|"ACTRESS"|"Janet Gaynor -- 7th Heaven  {\"Diane\"};  Street Angel  {\"Angela\"};  and Sunrise  {\"The Wife\"}"
"1927/28 (1st)"|"ART DIRECTION"|"William Cameron Menzies -- The Dove;  and Tempest"
"1927/28 (1st)"|"CINEMATOGRAPHY"|"Charles Rosher -- Sunrise"
"1927/28 (1st)"|"CINEMATOGRAPHY"|"Karl Struss -- Sunrise"
"1927/28 (1st)"|"DIRECTING (Comedy Picture)"|"Lewis Milestone -- Two Arabian Knights"
"1927/28 (1st)"|"DIRECTING (Dramatic Picture)"|"Frank Borzage -- 7th Heaven"
"1927/28 (1st)"|"ENGINEERING EFFECTS"|"Roy Pomeroy -- Wings"
"1927/28 (1st)"|"OUTSTANDING PICTURE"|"Paramount Famous Lasky -- Wings"
"1927/28 (1st)"|"UNIQUE AND ARTISTIC PICTURE"|"Fox -- Sunrise"
"1927/28 (1st)"|"WRITING (Adaptation)"|"Benjamin Glazer -- 7th Heaven"
"1927/28 (1st)"|"WRITING (Original Story)"|"Ben Hecht -- Underworld"
"1927/28 (1st)"|"WRITING (Title Writing)"|"Joseph Farnham"
"1927/28 (1st)"|"SPECIAL AWARD"|"To Warner Bros., for producing The Jazz Singer, the pioneer outstanding talking picture, which has revolutionized the industry."
"1927/28 (1st)"|"SPECIAL AWARD"|"To Charles Chaplin, for acting, writing, directing and producing The Circus."
"1928/29 (2nd)"|"ACTOR"|"Warner Baxter -- In Old Arizona  {\"The Cisco Kid\"}"
"1928/29 (2nd)"|"ACTRESS"|"Mary Pickford -- Coquette  {\"Norma Besant\"}"
"1928/29 (2nd)"|"ART DIRECTION"|"Cedric Gibbons -- The Bridge of San Luis Rey"
"1928/29 (2nd)"|"CINEMATOGRAPHY"|"Clyde De Vinna -- White Shadows in the South Seas"
"1928/29 (2nd)"|"DIRECTING"|"Frank Lloyd -- The Divine Lady"
"1928/29 (2nd)"|"OUTSTANDING PICTURE"|"Metro-Goldwyn-Mayer -- The Broadway Melody"
"1928/29 (2nd)"|"WRITING"|"Hans Kraly -- The Patriot"
"1929/30 (3rd)"|"ACTOR"|"George Arliss -- Disraeli  {\"Benjamin Disraeli\"}"
"1929/30 (3rd)"|"ACTRESS"|"Norma Shearer -- The Divorcee  {\"Jerry\"}"
"1929/30 (3rd)"|"ART DIRECTION"|"King of Jazz  -- Herman Rosse"
"1929/30 (3rd)"|"CINEMATOGRAPHY"|"With Byrd at the South Pole  -- Joseph T. Rucker, Willard Van Der Veer"
"1929/30 (3rd)"|"DIRECTING"|"Lewis Milestone -- All Quiet on the Western Front"
"1929/30 (3rd)"|"OUTSTANDING PRODUCTION"|"All Quiet on the Western Front  -- Universal"
"1929/30 (3rd)"|"SOUND RECORDING"|"The Big House --  Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
"1929/30 (3rd)"|"WRITING"|"The Big House  -- Frances Marion"
"1930/31 (4th)"|"ACTOR"|"Lionel Barrymore -- A Free Soul  {\"Stephen Ashe\"}"
"1930/31 (4th)"|"ACTRESS"|"Marie Dressler -- Min and Bill  {\"Min\"}"
"1930/31 (4th)"|"ART DIRECTION"|"Cimarron  -- Max Rée"
"1930/31 (4th)"|"CINEMATOGRAPHY"|"Tabu  -- Floyd Crosby"
"1930/31 (4th)"|"DIRECTING"|"Skippy  -- Norman Taurog"
"1930/31 (4th)"|"OUTSTANDING PRODUCTION"|"Cimarron  -- RKO Radio"
"1930/31 (4th)"|"SOUND RECORDING"|"Paramount Publix Studio Sound Department"
"1930/31 (4th)"|"WRITING (Adaptation)"|"Cimarron  -- Howard Estabrook"
"1930/31 (4th)"|"WRITING (Original Story)"|"The Dawn Patrol  -- John Monk Saunders"
"1930/31 (4th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class I)"|"To ELECTRICAL RESEARCH PRODUCTS, INC., RCA-PHOTOPHONE, INC. and RKO RADIO PICTURES, INC., for noise reduction recording equipment. [Sound]"
"1930/31 (4th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class I)"|"To DuPONT FILM MANUFACTURING CORP. and EASTMAN KODAK COMPANY for super-sensitive panchromatic film. [Film]"
"1930/31 (4th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To FOX FILM CORP. for effective use of synchro-projection composite photography. [Sound]"
"1930/31 (4th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To ELECTRICAL RESEARCH PRODUCTS, INC. for moving coil microphone transmitters. [Sound]"
"1930/31 (4th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To RKO RADIO PICTURES, INC. for reflex type microphone concentrators. [Sound]"
"1930/31 (4th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To RCA-PHOTOPHONE, INC. for ribbon microphone transmitters. [Sound]"
"1931/32 (5th)"|"ACTOR"|"Wallace Beery -- The Champ  {\"Champ\"}"
"1931/32 (5th)"|"ACTOR"|"Fredric March -- Dr. Jekyll and Mr. Hyde  {\"Dr. Henry Jekyll/Mr. Hyde\"}"
"1931/32 (5th)"|"ACTRESS"|"Helen Hayes -- The Sin of Madelon Claudet  {\"Madelon\"}"
"1931/32 (5th)"|"ART DIRECTION"|"Transatlantic  -- Gordon Wiles"
"1931/32 (5th)"|"CINEMATOGRAPHY"|"Shanghai Express  -- Lee Garmes"
"1931/32 (5th)"|"DIRECTING"|"Bad Girl  -- Frank Borzage"
"1931/32 (5th)"|"OUTSTANDING PRODUCTION"|"Grand Hotel  -- Metro-Goldwyn-Mayer"
"1931/32 (5th)"|"SHORT SUBJECT (Cartoon)"|"Flowers and Trees --  Walt Disney, Producer"
"1931/32 (5th)"|"SHORT SUBJECT (Comedy)"|"The Music Box --  Hal Roach, Producer"
"1931/32 (5th)"|"SHORT SUBJECT (Novelty)"|"Wrestling Swordfish --  Mack Sennett, Producer"
"1931/32 (5th)"|"SOUND RECORDING"|"Paramount Publix Studio Sound Department"
"1931/32 (5th)"|"WRITING (Adaptation)"|"Bad Girl  -- Edwin Burke"
"1931/32 (5th)"|"WRITING (Original Story)"|"The Champ  -- Frances Marion"
"1931/32 (5th)"|"SPECIAL AWARD"|"To Walt Disney for the creation of \"Mickey Mouse.\""
"1931/32 (5th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To TECHNICOLOR MOTION PICTURE CORP. for its color cartoon process. [Cartoon Process]"
"1931/32 (5th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To EASTMAN KODAK COMPANY for its Type II-B Sensitometer. [Laboratory]"
"1932/33 (6th)"|"ACTOR"|"Charles Laughton -- The Private Life of Henry VIII  {\"Henry VIII\"}"
"1932/33 (6th)"|"ACTRESS"|"Katharine Hepburn -- Morning Glory  {\"Eva Lovelace\"}"
"1932/33 (6th)"|"ART DIRECTION"|"Cavalcade  -- William S. Darling"
"1932/33 (6th)"|"ASSISTANT DIRECTOR"|"William Tummel (Fox)"
"1932/33 (6th)"|"ASSISTANT DIRECTOR"|"Charles Dorian (Metro-Goldwyn-Mayer)"
"1932/33 (6th)"|"ASSISTANT DIRECTOR"|"Charles Barton (Paramount)"
"1932/33 (6th)"|"ASSISTANT DIRECTOR"|"Dewey Starkey (RKO Radio)"
"1932/33 (6th)"|"ASSISTANT DIRECTOR"|"Fred Fox (United Artists)"
"1932/33 (6th)"|"ASSISTANT DIRECTOR"|"Scott Beal (Universal)"
"1932/33 (6th)"|"ASSISTANT DIRECTOR"|"Gordon Hollingshead (Warner Bros.)"
"1932/33 (6th)"|"DIRECTING"|"Cavalcade  -- Frank Lloyd"
"1932/33 (6th)"|"OUTSTANDING PRODUCTION"|"Cavalcade  -- Fox"
"1932/33 (6th)"|"SHORT SUBJECT (Cartoon)"|"The Three Little Pigs --  Walt Disney, Producer"
"1932/33 (6th)"|"SHORT SUBJECT (Comedy)"|"So This Is Harris --  Louis Brock, Producer"
"1932/33 (6th)"|"SHORT SUBJECT (Novelty)"|"Krakatoa --  Joe Rock, Producer"
"1932/33 (6th)"|"WRITING (Adaptation)"|"Little Women  -- Victor Heerman, Sarah Y. Mason"
"1932/33 (6th)"|"WRITING (Original Story)"|"One Way Passage  -- Robert Lord"
"1932/33 (6th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To ELECTRICAL RESEARCH PRODUCTS, INC. for their wide range recording and reporducing system. [Sound]"
"1932/33 (6th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To RCA-VICTOR COMPANY, INC. for their high-fidelity recording and reproducing system. [Sound]"
"1932/33 (6th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To FOX FILM CORPORATION, FRED JACKMAN and WARNER BROS. PICTURES, INC., and SIDNEY SANDERS of RKO Studios, Inc., for their development and effective use of the translucent cellulose screen in composite photography. [Special Photographic]"
"1934 (7th)"|"ACTOR"|"Clark Gable -- It Happened One Night  {\"Peter Warne\"}"
"1934 (7th)"|"ACTRESS"|"Claudette Colbert -- It Happened One Night  {\"Ellie Andrews\"}"
"1934 (7th)"|"ART DIRECTION"|"The Merry Widow  -- Cedric Gibbons, Fredric Hope"
"1934 (7th)"|"ASSISTANT DIRECTOR"|"Viva Villa!  -- John Waters"
"1934 (7th)"|"CINEMATOGRAPHY"|"Cleopatra  -- Victor Milner"
"1934 (7th)"|"DIRECTING"|"It Happened One Night  -- Frank Capra"
"1934 (7th)"|"FILM EDITING"|"Eskimo  -- Conrad Nervig"
"1934 (7th)"|"MUSIC (Scoring)"|"One Night of Love --  Columbia Studio Music Department, Louis Silvers, head of department (Thematic Music by Victor Schertzinger and Gus Kahn)"
"1934 (7th)"|"MUSIC (Song)"|"\"The Continental\" from The Gay Divorcee  -- Music by Con Conrad; Lyrics by Herb Magidson"
"1934 (7th)"|"OUTSTANDING PRODUCTION"|"It Happened One Night  -- Columbia"
"1934 (7th)"|"SHORT SUBJECT (Cartoon)"|"The Tortoise and the Hare --  Walt Disney, Producer"
"1934 (7th)"|"SHORT SUBJECT (Comedy)"|"La Cucaracha --  Kenneth Macgowan, Producer"
